submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
401539,Prayas,0.747 (1),0.735 (1),0.732 (1),0.710 (1),0.762 (1),0.743 (1),0.732 (2),0.729 (3),0.765 (2),0.761 (3),
409761,vineet.john,0.727 (2),0.717 (3),0.709 (2),0.687 (3),0.716 (5),0.696 (5),0.728 (4),0.733 (2),0.757 (4),0.751 (4),
400815,Emkay,0.722 (3),0.712 (4),0.705 (3),0.692 (2),0.726 (2),0.703 (3),0.690 (7),0.690 (7),0.767 (1),0.764 (2),
405745,EgorLakomkin,0.721 (4),0.717 (2),0.678 (7),0.665 (5),0.698 (9),0.686 (7),0.744 (1),0.750 (1),0.763 (3),0.767 (1),
404636,sreeIN,0.715 (5),0.707 (5),0.701 (4),0.682 (4),0.705 (7),0.683 (9),0.716 (5),0.722 (5),0.740 (6),0.742 (6),
402860,venkatesh-1729,0.715 (6),0.702 (6),0.678 (6),0.654 (7),0.705 (8),0.684 (8),0.728 (3),0.728 (4),0.749 (5),0.744 (5),
406304,hardik.meisheri,0.705 (7),0.692 (7),0.677 (8),0.657 (6),0.723 (3),0.705 (2),0.710 (6),0.705 (6),0.711 (8),0.702 (9),
403268,vlaand,0.683 (8),0.667 (9),0.680 (5),0.653 (8),0.717 (4),0.695 (6),0.625 (11),0.619 (11),0.709 (10),0.700 (11),
401601,IITP,0.682 (9),0.671 (8),0.649 (11),0.630 (11),0.713 (6),0.696 (4),0.657 (9),0.655 (9),0.709 (11),0.701 (10),
401786,YZU-NLP,0.677 (10),0.665 (10),0.666 (9),0.641 (9),0.677 (11),0.655 (11),0.658 (8),0.652 (10),0.709 (9),0.713 (8),
401531,HPCC,0.671 (11),0.660 (11),0.661 (10),0.639 (10),0.697 (10),0.678 (10),0.599 (12),0.594 (14),0.729 (7),0.729 (7),
404838,felipebravom,0.648 (12),0.641 (12),0.639 (12),0.615 (12),0.652 (13),0.635 (12),0.654 (10),0.662 (8),0.648 (15),0.651 (15),
401641,Brun,0.638 (13),0.628 (13),0.629 (13),0.610 (13),0.657 (12),0.626 (14),0.594 (13),0.596 (13),0.672 (14),0.678 (14),
402160,mhjabreel,0.631 (14),0.617 (15),0.626 (14),0.604 (14),0.619 (15),0.604 (15),0.593 (14),0.578 (15),0.685 (12),0.681 (13),
401311,dbusca,0.619 (15),0.623 (14),0.580 (15),0.575 (15),0.639 (14),0.630 (13),0.583 (15),0.601 (12),0.676 (13),0.686 (12),
400383,kakachaguan,0.571 (16),0.558 (16),0.550 (16),0.528 (16),0.576 (16),0.535 (16),0.556 (16),0.565 (16),0.603 (16),0.606 (16),
401091,epochx,0.522 (17),0.506 (17),0.470 (19),0.439 (19),0.561 (17),0.528 (17),0.537 (17),0.531 (17),0.520 (19),0.525 (19),
401103,hkh,0.494 (18),0.485 (19),0.486 (18),0.476 (18),0.512 (19),0.498 (19),0.429 (21),0.426 (22),0.550 (17),0.540 (18),
401266,heukirne,0.483 (19),0.486 (18),0.508 (17),0.516 (17),0.460 (21),0.446 (21),0.425 (22),0.427 (21),0.541 (18),0.556 (17),
406079,amouma,0.482 (20),0.477 (20),0.423 (20),0.425 (20),0.524 (18),0.524 (18),0.490 (19),0.470 (19),0.492 (21),0.490 (21),
400503,gnem,0.468 (21),0.465 (21),0.412 (21),0.407 (21),0.511 (20),0.495 (20),0.437 (20),0.455 (20),0.513 (20),0.505 (20),
401442,ghpaetzold,0.291 (22),0.279 (22),0.277 (22),0.258 (22),0.109 (22),0.095 (22),0.517 (18),0.510 (18),0.259 (22),0.252 (22),
401294,vinayakumarr88,0.076 (23),0.071 (23),0.176 (23),0.155 (23),0.023 (23),0.011 (23),-0.019 (23),0.008 (23),0.124 (23),0.108 (23),


submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
401539,Prayas,0.571 (1),0.554 (1),0.605 (1),0.582 (1),0.621 (1),0.577 (1),0.500 (4),0.508 (4),0.557 (7),0.549 (7),
409761,vineet.john,0.566 (2),0.551 (2),0.576 (3),0.570 (2),0.558 (5),0.523 (5),0.567 (1),0.556 (1),0.561 (6),0.556 (5),
405745,EgorLakomkin,0.562 (3),0.543 (3),0.565 (5),0.545 (4),0.531 (11),0.494 (11),0.528 (3),0.531 (3),0.624 (1),0.601 (2),
404636,sreeIN,0.559 (4),0.533 (4),0.588 (2),0.552 (3),0.569 (3),0.515 (8),0.458 (8),0.457 (7),0.623 (2),0.608 (1),
402860,venkatesh-1729,0.552 (5),0.531 (5),0.541 (8),0.519 (8),0.556 (6),0.513 (9),0.547 (2),0.538 (2),0.564 (5),0.552 (6),
403268,vlaand,0.531 (6),0.513 (7),0.567 (4),0.540 (5),0.566 (4),0.529 (4),0.426 (9),0.412 (10),0.564 (4),0.572 (3),
406304,hardik.meisheri,0.521 (7),0.518 (6),0.541 (7),0.535 (6),0.542 (9),0.520 (7),0.471 (6),0.488 (5),0.530 (8),0.529 (9),
401786,YZU-NLP,0.516 (8),0.500 (9),0.544 (6),0.528 (7),0.552 (8),0.520 (6),0.471 (5),0.460 (6),0.495 (12),0.493 (13),
400815,Emkay,0.514 (9),0.503 (8),0.519 (11),0.509 (11),0.552 (7),0.534 (3),0.415 (10),0.413 (9),0.570 (3),0.556 (4),
401601,IITP,0.505 (10),0.491 (10),0.525 (10),0.512 (10),0.575 (2),0.549 (2),0.406 (11),0.404 (11),0.513 (11),0.500 (12),
401531,HPCC,0.500 (11),0.480 (11),0.530 (9),0.517 (9),0.540 (10),0.498 (10),0.406 (12),0.397 (12),0.526 (9),0.507 (10),
402160,mhjabreel,0.484 (12),0.478 (12),0.496 (14),0.470 (13),0.460 (17),0.467 (13),0.465 (7),0.443 (8),0.513 (10),0.532 (8),
404838,felipebravom,0.477 (13),0.442 (14),0.517 (12),0.470 (14),0.503 (13),0.462 (15),0.398 (13),0.373 (14),0.490 (13),0.466 (14),
401641,Brun,0.450 (14),0.443 (13),0.506 (13),0.500 (12),0.507 (12),0.476 (12),0.357 (17),0.365 (15),0.430 (16),0.431 (16),
401311,dbusca,0.446 (15),0.438 (15),0.435 (16),0.439 (15),0.496 (14),0.463 (14),0.366 (15),0.347 (17),0.489 (14),0.503 (11),
400383,kakachaguan,0.432 (16),0.405 (16),0.456 (15),0.419 (16),0.483 (16),0.419 (17),0.329 (19),0.329 (18),0.462 (15),0.454 (15),
401091,epochx,0.387 (17),0.366 (17),0.350 (19),0.325 (19),0.484 (15),0.445 (16),0.362 (16),0.362 (16),0.351 (20),0.332 (20),
401103,hkh,0.373 (18),0.363 (18),0.386 (17),0.380 (17),0.390 (19),0.380 (19),0.330 (18),0.320 (19),0.387 (19),0.371 (19),
400503,gnem,0.347 (19),0.331 (19),0.275 (21),0.261 (21),0.441 (18),0.417 (18),0.242 (20),0.222 (20),0.428 (17),0.424 (17),
401266,heukirne,0.313 (20),0.284 (20),0.361 (18),0.326 (18),0.315 (20),0.278 (21),0.155 (21),0.150 (21),0.424 (18),0.382 (18),
406079,amouma,0.264 (21),0.261 (21),0.276 (20),0.285 (20),0.293 (21),0.290 (20),0.143 (22),0.144 (22),0.343 (21),0.326 (21),
401442,ghpaetzold,0.220 (22),0.218 (22),0.188 (23),0.178 (22),0.095 (22),0.081 (22),0.396 (14),0.377 (13),0.202 (23),0.237 (23),
401294,vinayakumarr88,0.140 (23),0.134 (23),0.190 (22),0.164 (23),0.077 (23),0.061 (23),0.057 (23),0.071 (23),0.235 (22),0.238 (22),


